claim_id,paper_location,original_description,recovery_artifact,notes
BUG-PMPCFG,Real implementation defects subsection sec:case-pmpcfg,pmpcfg byte-offset and bank-selection properties for all 16 selectors,out/03_case_studies/pmpcfg_offset.log;isabelle-SeSBI/SeSBI_PMP_Banked.thy;dafny-SeSBI-table4/PmpRoutineModel.dfy;SeSBI-code/tests/test_sbi_pmp.c,The original modulo-4 defect is reproduced by the case-study harness; current abstract proofs cover cfg0 and cfg2 target/frame behavior and the production C regression executes every selector.
PMP-TOTAL-DOMAIN,PMP configuration subsection,Total signed-index and validated-region behavior before PMP CSR access,SeSBI-code/sbi/sbi_main.c;SeSBI-code/tests/run_pmp_regression.sh;dafny-SeSBI-table4/PmpRoutineModel.dfy;isabelle-SeSBI/SeSBI_PMP_Banked.thy,From well-formed 16-entry model states negative and upper-out-of-range indices plus invalid size alignment and permission requests preserve modeled state; the production C harness observes no CSR access for representative invalid requests; ordinary accepted regions are represented exactly and the explicit allow-all sentinel is retained.
BUG-MSTATUS,Case study,mstatus MPIE omission distinguished by Isabelle,out/03_case_studies/formal_claim_anchors.csv,SeSBI_PMP_Mstatus_Omission.thy proves the corrected path satisfies the S-mode-entry postcondition (MPP=S and MPIE=1) while the MPIE-omission buggy path does not when initial MPIE=0; run_mstatus_omission.sh supplies baseline-pass/mutant-caught mutation evidence. delegate_traps_preserves_mstatus is a separate state-projection theorem and is not the source of this MPIE evidence.
MSTATUS-OMISSION,Mode-transition case study separate from Theorem 2,Exact MPIE-omission mutation evidence,tools/reproduction/run_mstatus_omission.sh;generated/mstatus_omission/results_mstatus_omission_raw.csv,Baseline SeSBI_PMP session builds and corrected_satisfies_postcondition holds; dropping the MPIE write makes the same proof fail (mutant CAUGHT); working-tree source SHA is unchanged after the run.
PMP-DOMAIN,PMP configuration and Theorem statements,PMP entry-count versus max-index domain,isabelle-SeSBI/SeSBI_PMP_Global.thy,PMP_ENTRY_COUNT=16 and MAX_PMP_INDEX=15 with bridge lemmas MAX_PMP_INDEX+1=PMP_ENTRY_COUNT and idx<=MAX_PMP_INDEX iff idx<PMP_ENTRY_COUNT; matches C MAX_CSR_PMP exclusive bound and Dafny idx<16.
BUG-TIMER,Case study,timer signedness demonstrated by a targeted C test,out/03_case_studies/timer_signedness.log;artifact/examples/dafny/TimerServiceModel.dfy,The standalone C test reproduces the signed versus unsigned comparison difference and the fixed-width service model specifies the intended unsigned bv64 comparison; no Dafny signedness mutant outcome is reported.
COMPARE,Comparison table,OpenSBI RustSBI SeSBI structural metrics,out/04_comparison/comparison_observed.csv,Records local availability and computed metrics where source snapshots exist.
COMPARE-EXT,Comparison table,OpenSBI 17 extensions and SeSBI 7 extensions,out/04_comparison/comparison_extension_inventory.csv,Counts OpenSBI ecall extension files and records SeSBI SBI3 probe surface.
COMPARE-FW,Comparison table,Runtime firmware counts,out/04_comparison/comparison_firmware_variants.csv,Records OpenSBI fw_dynamic/fw_jump/fw_payload and SeSBI sesbi-fw.bin.
COMPARE-RAW,Comparison table,TCB and core boot-path values,out/04_comparison/comparison_paper_raw_data.csv,Converts paper KLOC values to LOC-style raw data; RustSBI marked excluded for this stage.
